rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
70,"spotify:track:0qlYaRFGvgR6afy1f4BBwD","Gazo","NANANI NANANA","BSB PROD",4,50,10,"89985"
71,"spotify:track:3dj4wgM3cPeuLwMNHDuBon","Teddy Swims","The Door","Warner Records",42,60,41,"89933"
72,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",67,69,6,"87802"
73,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",4,67,122,"87790"
74,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",3,62,39,"87556"
75,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",25,74,194,"87507"
76,"spotify:track:2z9FUHRkbkV4BObNzbHsFU","Damiano David","Born With a Broken Heart","Sony Music Italy / Arista Records",76,100,5,"87489"
77,"spotify:track:4mVhmpRtHuzMFJlU3an4eG","makko, Miksu / Macloud","LICHTER AUS","Futura",77,-1,1,"87100"
78,"spotify:track:3JG1uFc40wfyrqaWC7iv0e","Artemas","i like the way you kiss me","Artemas",1,64,47,"86619"
79,"spotify:track:7cMhicmOIwfJlWURl90AOc","Noizy","Follow You","Southeast Records x Ventura Records",7,57,13,"85888"
80,"spotify:track:5e0b9LgOfi3aJSKXFcOWRe","Chezile","Beanie","Chezile / 10K Projects",42,65,12,"85732"
81,"spotify:track:0JtDPZDAIEIZbE1y7aSjTB","badchieff","EIN TEIL VON MIR","Four Music/Two Sides",81,-1,1,"84940"
82,"spotify:track:2aLxQ8iA7ruf1l4N3TI15y","Dafina Zeqiri","Per Ty","Dafina Zeqiri",82,129,2,"84551"
83,"spotify:track:4cYllEeJVH7dWKwQxpbk42","The Weeknd, Lana Del Rey","The Abyss (feat. Lana Del Rey)","XO / Republic Records",83,-1,1,"84508"
84,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",14,79,73,"83223"
85,"spotify:track:0FDzzruyVECATHXKHFs9eJ","Coldplay","A Sky Full of Stars","Parlophone UK",20,82,50,"82436"
86,"spotify:track:0nrRP2bk19rLc0orkWPQk2","Avicii","Wake Me Up","Universal Music AB",10,66,214,"81333"
87,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,86,108,"81212"
88,"spotify:track:3bg2qahpZmsg5wV2EMPXIk","David Guetta, Alphaville, Ava Max","Forever Young","Parlophone UK",55,83,8,"80887"
89,"spotify:track:6VNXmo59yDYgcwLS17UNAW","Bad Bunny, Los Pleneros de la Cresta","CAFé CON RON","Rimas Entertainment LLC.",35,49,4,"80466"
90,"spotify:track:6eWAWHm0cuOaPGDWhoLJ7s","Myles Smith","Nice To Meet You","RCA Records Label",61,73,12,"80357"
91,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",25,116,10,"80232"
92,"spotify:track:3bK1zVFBKIzYjmptmI4NsJ","Ofenbach, Norma Jean Martine","Overdrive (feat. Norma Jean Martine)","Elektra France",7,80,66,"80126"
93,"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","Billie Eilish","CHIHIRO","Darkroom/Interscope Records",3,140,37,"80120"
94,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",13,81,222,"79991"
95,"spotify:track:3B54sVLJ402zGa6Xm4YGNe","French Montana, Swae Lee","Unforgettable","Bad Boy Entertainment/Epic Records",2,185,134,"79036"
96,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself","Aftermath",30,88,321,"78874"
97,"spotify:track:1Q9Efnm5csdCMFynISxL2x","Bad Bunny, RaiNao","PERFuMITO NUEVO","Rimas Entertainment LLC.",18,46,5,"78851"
98,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,117,128,"78500"
99,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,87,320,"78025"
100,"spotify:track:5tgSjvWO685Z0mYKefArMI","Central Cee, Dave","CRG (feat. Dave)","Columbia",44,44,2,"77961"
101,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",27,127,61,"77246"
102,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",82,106,23,"77175"
103,"spotify:track:0jYGmla4cCBQjletT8igYZ","Patent Ochsner","Brienz","Universal Music GmbH",103,-1,1,"76966"
104,"spotify:track:5qaEfEh1AtSdrdrByCP7qR","Imagine Dragons","Demons","Kid Ina Korner / Interscope",45,99,155,"76917"
105,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",21,139,41,"76582"
106,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",53,102,171,"76481"
107,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",3,109,118,"76012"
108,"spotify:track:0iKo4pNNjHHdKUcFARlfCa","Bad Bunny","EL CLúB","Rimas Entertainment LLC.",17,47,5,"75805"
109,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",24,131,10,"75545"
110,"spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike","Thank You (Not So Bad)","Ministry of Sound Recordings",23,71,56,"75280"
111,"spotify:track:637oNhilCI9UlkWkUW4Grt","The Weeknd, Future","Enjoy The Show (feat. Future)","XO / Republic Records",111,-1,1,"75003"
112,"spotify:track:2A1aS3mwuGuX2yk1bgxOvA","BL3SS, CamrinWatsin, bbyclose","Kisses (feat. bbyclose)","Atlantic Records UK",93,93,22,"74972"
113,"spotify:track:1eTaznNW4Xxtx9za2SMTXB","Doechii","DENIAL IS A RIVER","Top Dawg Entertainment/Capitol Records",113,-1,1,"74901"
114,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",21,126,23,"74708"
115,"spotify:track:31nfdEooLEq7dn3UMcIeB5","BENNETT","Vois sur ton chemin - Techno Mix","Warner Music Central Europe",4,118,79,"74654"
116,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,123,270,"74087"
117,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",3,98,56,"74057"
118,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",4,101,77,"73721"
119,"spotify:track:362rGNhj1jcPYQCMDVofFj","Ufo361","Tony Montana","Stay High",119,-1,1,"73497"
120,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",5,168,28,"72445"
121,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",52,103,23,"72441"
122,"spotify:track:1XBYiRV30ykHw5f4wm6qEn","The Kid LAROI","NIGHTS LIKE THIS","Columbia",40,96,33,"71948"
123,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",15,115,188,"71884"
124,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",22,121,110,"71689"
