,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
88,89,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,8,158,72,98197,1,Denmark
89,90,spotify:track:43jK7qyJgxFIDSDbTeIjZ6,"JOSVA, andreas odbjerg",I Made It (feat. Andreas Odbjerg),Sony Music Entertainment,41,163,26,98108,1,Denmark
90,91,spotify:track:3sCY4NA8PP7wV9d0BOHL34,Malte Ebert,Fortæl mig hvis du vil noget andet,Universal Music A/S,48,127,17,96105,1,Denmark
91,92,spotify:track:2c94vIXsZfItT8dQqxpmv3,"URO, Mekdes",Føles Godt (feat. Mekdes),Sony Music Entertainment,13,94,100,95867,1,Denmark
92,93,spotify:track:2CsNcwVW6fUabGB0E4ASjF,Tobias Rahim,Jylland,Os Der Følger Floden,10,67,16,95543,1,Denmark
93,94,spotify:track:689NPKXoBKWnqJif3uUVre,"Kundo, MAS",Signaler,No3,7,90,18,94587,1,Denmark
94,95,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,53,156,6,92683,1,Denmark
95,96,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,28,73,34,92593,1,Denmark
96,97,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,70,138,64,91377,1,Denmark
97,98,spotify:track:5o0osRx8kYJTOqlOSggr9Z,Alex Warren,Carry You Home,Atlantic Records,98,168,21,90635,1,Denmark
98,99,spotify:track:0oCtlIqcU9Y4RzZCfjb4J5,Annika,Tilbage,Universal Music A/S,99,167,5,90580,1,Denmark
99,100,spotify:track:0o5ibKv2wHgbjYXtGuKQ2r,"Gobs, ICEKIID",4 LIFE,WM Denmark,4,119,15,89455,1,Denmark
100,101,spotify:track:0ppdjEVfuHUZQYK8t9uJ9Q,Saveus,Rush,The Bank Records,78,140,4,89011,1,Denmark
101,102,spotify:track:7aSvvFYDuR8fCurPx6hqwl,KALASET,Tag Mig Som Jeg Er,Capital Records Denmark,102,-1,1,87448,1,Denmark
102,103,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",82,154,19,86984,1,Denmark
103,104,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,73,136,103,86367,1,Denmark
104,105,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,16,164,49,83912,1,Denmark
105,106,spotify:track:6DpGj9bttRgHoT1vk8ezgj,Gobs,Alt Ved Dig,WM Denmark,1,49,35,83860,1,Denmark
106,107,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,63,-1,29,83715,1,Denmark
107,108,spotify:track:3neYAjvKDOfvBUpIgReOkC,D1MA,MOONLIGHT,Universal Music A/S,1,99,93,83424,1,Denmark
