,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
104,105,spotify:track:5CtXR89REICvEZljUEK8r1,"DJ L30, MC Thaizinha",Do Jeito Que Você Mete,Conquista Records Agenciamento Artístico,57,68,15,103698,2,Portugal
105,106,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,91,91,9,103580,2,Portugal
106,107,spotify:track:5KZJORKMEkrsNRD4dfBw1X,Wet Bed Gang,Devia Ir,Responsablembrace,1,83,339,103459,2,Portugal
107,108,spotify:track:5QUiCIq5BPbGb1jNDK98VQ,"Van Zee, FRANKIEONTHEGUITAR",Nessa Chama,Van Zee & FRANKIEONTHEGUITAR,108,-1,1,103393,2,Portugal
108,109,spotify:track:1WGmyxoPCfOrk7uT2z3Zuu,"PEDRO SAMPAIO, Gasparzinho, MC Meno K",CAVALINHO,WM Brazil,19,86,49,103161,2,Portugal
109,110,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,8,81,147,102848,2,Portugal
110,111,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,111,-1,1,102709,2,Portugal
111,112,spotify:track:3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,Warner Records,78,82,20,102618,2,Portugal
112,113,spotify:track:6nuQ63rDXGxzoGSjhI6r7f,"Van Zee, FRANKIEONTHEGUITAR",Atitude,Van Zee & FRANKIEONTHEGUITAR,113,-1,1,102258,2,Portugal
113,114,spotify:track:0KVuFaXvgC5v4xRlSIiitI,Maninho,Até ao Fim,Parlophone Portugal,65,97,46,102141,2,Portugal
114,115,spotify:track:280QfKhmWGn3LbyB39aA7u,Léo Foguete,Cópia Proibida,Sua Música Digital,115,150,3,101642,2,Portugal
115,116,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,31,78,220,101587,2,Portugal
116,117,spotify:track:0xKBEEJwpjaLn1QhCdyKcf,Calema,A Nossa Dança,Klasszik,12,92,93,101529,2,Portugal
117,118,spotify:track:0zGUJtNF5dnK3hWvABRM84,"Van Zee, FRANKIEONTHEGUITAR","O Amor É mm Assim, Mas...",Van Zee & FRANKIEONTHEGUITAR,118,-1,1,100767,2,Portugal
118,119,spotify:track:6YvBWNtX8L8VBxahAqo954,Gson,Farda,iM,58,85,97,100201,2,Portugal
119,120,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",15,94,8,99209,2,Portugal
120,121,spotify:track:4ePv0LT3uBUetBHRNl661N,"Van Zee, FRANKIEONTHEGUITAR",Ainda Prendes O Cabelo,Van Zee & FRANKIEONTHEGUITAR,121,-1,1,99034,2,Portugal
121,122,spotify:track:5kr0kja5gbZAaT7w3TGKts,Calema,Te Amo,Klasszik,8,121,253,98115,2,Portugal
122,123,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,106,69,97671,2,Portugal
123,124,spotify:track:6jYDGIdyhygAwxvaSpyXQR,Plutonio,1000 Bocados,Bridgetown Records,12,70,10,97049,2,Portugal
124,125,spotify:track:50yECsT0BYrk3BeqJanW7E,Slow J,Sem Ti,Slow J,8,111,81,96184,2,Portugal
125,126,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,5,77,32,95499,2,Portugal
126,127,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,30,87,141,95126,2,Portugal
127,128,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,62,93,38,94786,2,Portugal
128,129,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,27,102,71,92911,2,Portugal
129,130,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,10,104,182,92697,2,Portugal
