,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
130,131,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,6,-1,31,526058,1,Germany
131,132,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,37,152,185,525213,1,Germany
132,133,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Mr.305/Polo Grounds Music/J Records,110,137,38,524518,1,Germany
133,134,spotify:track:3z1D3Z8wBzNivKI6yFfxX9,"Jamule, YAKARY",4AM,Life is Pain,72,72,3,524450,1,Germany
134,135,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,135,162,45,522839,1,Germany
135,136,spotify:track:23UBSdCPcsloNVmQZ508Zv,"Betsy, Maria Iankovskaia",Sigma Boy - Сигма Бой,Rhymes Music Inc.,109,109,5,522503,1,Germany
136,137,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,33,-1,34,521677,1,Germany
137,138,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",39,113,175,517963,1,Germany
138,139,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,"Pitbull, Kesha",Timber,Mr.305/Polo Grounds Music/RCA Records,112,112,7,516829,1,Germany
139,140,spotify:track:0d28khcov6AiegSCpG5TuT,"Gorillaz, De La Soul",Feel Good Inc.,Parlophone UK,140,-1,1,514399,1,Germany
140,141,spotify:track:4lnLVhGxv1YnJEJIComb9x,Nina Chuba,Fliegen,Jive,17,175,6,514336,1,Germany
141,142,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,107,-1,13,511834,1,Germany
142,143,spotify:track:2H7jZg2HliuQhZjfBblLrZ,Pashanim,Sommergewitter,Urban,1,-1,172,511435,1,Germany
143,144,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,100,100,35,511021,1,Germany
144,145,spotify:track:0iB5f04XdJ2tcfhoVkeLV8,"Alok, Mondello'G, CERES, Tribbs",LET'S GET FKD UP,Columbia/B1 Recordings,5,89,48,510340,1,Germany
145,146,spotify:track:4qdGZUy2bzM8GB2qBaMWpR,"SANTOS, Sido",Geschlossene Augen,Urban,5,178,12,507346,1,Germany
146,147,spotify:track:25FTMokYEbEWHEdss5JLZS,Wheatus,Teenage Dirtbag,Columbia,147,161,4,505428,1,Germany
147,148,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s,Myles Smith,Nice To Meet You,RCA Records Label,129,-1,4,504893,1,Germany
148,149,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,Nickelback,How You Remind Me,Roadrunner Records,135,189,31,503853,1,Germany
149,150,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,Sex on Fire,RCA/Legacy,134,134,19,503769,1,Germany
150,151,spotify:track:5N1C1ii0IsKp1Ux3OXUM8C,Apache 207,Miami,Four Music/Feder Musik,2,149,22,503224,1,Germany
151,152,spotify:track:5o0osRx8kYJTOqlOSggr9Z,Alex Warren,Carry You Home,Atlantic Records,139,-1,5,502332,1,Germany
152,153,spotify:track:0GONea6G2XdnHWjNZd6zt3,Bryan Adams,Summer Of '69,A&M,86,86,25,500373,1,Germany
153,154,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,166,92,500161,1,Germany
154,155,spotify:track:3an1JVi8OsE0aG6dMS4Pes,AYLIVA,Hässlich,Whiteheart Records/WM Germany,1,145,69,495036,1,Germany
155,156,spotify:track:0mhLtfPyuHp9UK3e7TPxEi,Aymen,Schon seit Jahren,Epic/Moon Boys,139,139,3,493810,1,Germany
156,157,spotify:track:0zBOXwDbCEM0Wbx3rqVdQb,"Kurdo, CAPO",Alors (feat. CAPO),ALMAZ,39,-1,24,493041,1,Germany
157,158,spotify:track:4IRk0nB8LDQYosqv1qJYio,AYLIVA,Nein!,Whiteheart Records/WM Germany,2,177,20,491669,1,Germany
158,159,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,141,60,490980,1,Germany
159,160,spotify:track:1ui8TaaTFy4A0y9Vqy5dxP,Mucco,Mhhh,Life is Pain,117,117,3,490843,1,Germany
160,161,spotify:track:7ySUcLPVX7KudhnmNcgY2D,Rihanna,S&M,Def Jam Recordings,120,144,15,489562,1,Germany
161,162,spotify:track:5r2yVGFGpTDcE1wKQUCpS2,Jazeek,Take it,NINETYNINE MUSIC x Good Kid Records x VENTURA Records,16,-1,31,486552,1,Germany
162,163,spotify:track:3FcqFCeCD6QRtRo6WGLCnC,Alligatoah,Willst du,Trailerpark,107,168,83,483020,1,Germany
163,164,spotify:track:4S1VYqwfkLit9mKVY3MXoo,Alphaville,Forever Young,WM Germany,36,105,24,481813,1,Germany
164,165,spotify:track:3ZaEs1O8BG581qYPHpQ8d6,"A$AP Rocky, Imogen Heap, Clams Casino",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Worldwide/RCA Records,120,-1,9,480308,1,Germany
165,166,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",47,-1,5,480167,1,Germany
166,167,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,Cactus Jack/Epic,8,-1,94,480063,1,Germany
167,168,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,Partisan Records,106,-1,4,477901,1,Germany
168,169,spotify:track:6X1mehC9bJ1ExEip4HB79W,Die Prinzen,Alles nur geklaut,BMG Rights Management GmbH,61,61,26,477633,1,Germany
169,170,spotify:track:6xLxMr7gbDdz7VWSx0IBt7,"Jazeek, Milano",Do you lie,NINETYNINE MUSIC x Good Kid Records x Ventura Records,5,-1,30,475231,1,Germany
170,171,spotify:track:30qO2CQuyglItds9OgzG4K,Haaland936,100 Bars,Epic/DOPE,171,-1,1,474667,1,Germany
171,172,spotify:track:2toCf2FDbTIdWriPI6kcsY,"Nina Chuba, Chapo102",Ich hass dich,Jive,7,193,106,473459,1,Germany
172,173,spotify:track:5YWu6dt50Nieq8qi572RF8,"SIRA, Bausa, badchieff",9 bis 9,Four Music/SIRA,2,87,79,473128,1,Germany
173,174,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",49,-1,5,472150,1,Germany
174,175,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,Lose Yourself,Aftermath,53,-1,206,470861,1,Germany
175,176,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,Fueled By Ramen,69,-1,18,468776,1,Germany
176,177,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,124,-1,47,467911,1,Germany
177,178,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,62,103,133,467464,1,Germany
178,179,spotify:track:0atxjWna6ikysmEzrqGXLW,"Dardan, Monet192",APARTMENT (feat. Monet192),Hypnotize Entertainment,90,-1,7,464671,1,Germany
