,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
164,165,spotify:track:2toyDDWentmjZTyojLVXfP,"Olly, Juli",I cantieri del Giappone,Epic,76,175,5,387535,1,Italy
165,166,spotify:track:1cAM8Azcg1TPzm4ek7J3RZ,Gazzelle,Come il pane,Warner Music,32,-1,4,387072,1,Italy
166,167,spotify:track:3sdvDRHwSpuKUehwVYxHcG,Shiva,Take 5,Milano Ovest,3,151,20,385972,1,Italy
167,168,spotify:track:05mlLQhbyQ9CCdtIt4jHVS,Enrico Nigiotti,Tu sei per me,Columbia,128,149,5,382863,1,Italy
168,169,spotify:track:3sVyYDKJ5vhzn6ryEcaGHt,"Rhove, ANNA",Petit Fou Fou (feat. ANNA),Universal Music Italia srL.,3,126,47,381451,1,Italy
169,170,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,51,176,29,380709,1,Italy
170,171,spotify:track:2SEAbXqFtdTwkzgAb5Ci80,"Kid Yugi, Simba La Rue",Denaro (feat. Simba La Rue),Universal Music Italia srL.,11,172,42,380315,1,Italy
171,172,spotify:track:5WssaPhjCCUFBMk9PpnHYj,"Sfera Ebbasta, Elodie",Anche Stasera,Universal Music Italia srL.,5,164,59,376950,1,Italy
172,173,spotify:track:1odrZy5kTuj3SGdfgzhMzq,"Night Skinny, Luchè",Scale (con Luchè),Universal Music Italia srL.,28,185,33,375372,1,Italy
173,174,spotify:track:5z1XCZMzScqeqCe4iUh3WA,Tony Boy,Tutti i giorni,Warner Music,25,-1,3,374770,1,Italy
174,175,spotify:track:0cDq1fpfr9NNFNAKQXLLK7,"Alessandra Amoroso, BigMama",Mezzo Rotto (feat. BigMama),Epic,14,163,31,374019,1,Italy
175,176,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,72,-1,22,372587,1,Italy
176,177,spotify:track:3cGuiySfwJPXqvE15OiEEg,Sfera Ebbasta,Tran Tran,Universal Music Italia srL.,1,147,166,372287,1,Italy
177,178,spotify:track:0MLu1cFYL4ikdRTdasCQT9,"Shablo, Geolier, Sfera Ebbasta",M' Manc (con Geolier & Sfera Ebbasta),Universal Music Italia srL.,1,180,193,371060,1,Italy
178,179,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,179,-1,1,371048,1,Italy
179,180,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,85,190,47,369370,1,Italy
180,181,spotify:track:7kS2AVRk5Yj6BTj8PyJFfC,Ghali,Paprika,Warner Music,2,132,35,368390,1,Italy
181,182,spotify:track:5BqUbKq9rCMrCkRtAiz8XA,Il Pagante,Settimana Bianca,Il Pagante,98,134,50,368030,1,Italy
182,183,spotify:track:2EBlqIr8yZLUqTiWtB9Tgo,Tony Boy,Stanza,Warner Music,23,179,5,366623,1,Italy
183,184,spotify:track:0Sp6AOrAlVmKRIzmQGjLS8,"Gheba, Pave",Boxer,Universal Music Italia srL.,181,181,2,366575,1,Italy
184,185,spotify:track:6Eh1Pg18WShK128VeynEcx,"Lazza, Laura Pausini",ZERI IN PIÙ (LOCURA) (feat. Laura Pausini),Universal Music Italia srL.,1,-1,14,364890,1,Italy
185,186,spotify:track:7Isi6whc5DD6A5wH5nqyUw,Mahmood,RA TA TA,Universal Music Italia srL.,11,157,29,364097,1,Italy
186,187,spotify:track:1oBM9JTuD0wqfVQ8iuLjLQ,"Artie 5ive, Ddusi, Sadturs, KIID",64 BARRE IN FACCIA (Red Bull 64 Bars),Warner Music,45,70,18,362743,1,Italy
